Principal_Component_1_Stratified,Principal_Component_2_Stratified
0.6634911435239152,-0.12002703356951831
0.45935355273052625,-0.027336402635171897
0.6639900303806855,-0.09287108158869681
0.22244076267486967,-0.08804118398458849
0.3602293419513248,0.3464523491467789
0.28507977514639465,-0.015717898956665276
0.3095190884769529,-0.03708316924656862
0.5993282281492356,-0.2712493691182527
0.3455410396201094,-0.0005093656011630976
0.158636920564551,-0.09544326302877716
0.541502473271976,-0.21769065819515776
0.2900149249554877,-0.03712274706690567
0.5618361167824643,-0.13573727560189752
0.2318389376141145,0.12430273374955009
0.36337237511612397,-0.07312695619238396
0.5164492383726056,-0.17660414532377072
0.46284995539699436,0.03465470686125252
0.5958623507189331,0.03202973208286733
0.28670136773851856,-0.12947982447500248
0.5744593368162145,-0.14115926960466296
0.01570032226722455,0.2592361322754794
0.29104948128271024,-0.31070456036999367
0.18047881926172152,0.13276906601826033
0.5964903080189291,-0.17009342524312332
0.15187729118191895,0.09086823678269736
0.5906630580685498,-0.12498689594753751
0.5534236944364959,-0.15385236969511232
-0.014348010334566962,-0.009736632928427476
-0.08535627489993948,-0.012117686634961244
0.5881580100219149,-0.15554092794543378
0.5442857727206516,-0.21103001824180986
0.5747378418387543,-0.17936196132557242
0.4132209436546027,-0.033344700864511065
0.5792746703378551,-0.22315690299196522
0.5458115716299455,-0.002630277719738437
0.3786711431292371,0.03732553091805051
-0.10577691330987027,-0.23442378748883258
0.3382356691085324,-0.05603751378511482
0.5159331967122951,-0.12299660774266032
0.5834455239799802,-0.10856069332934452
0.5609468377952109,-0.17158267093630075
0.5476906302774556,-0.09510808623506611
0.20189186227952513,-0.22423621048149203
0.5614836323417097,-0.19380930929024712
0.6062592804048126,-0.04890489891500389
0.598441158436827,-0.2092740060067091
0.3945707226150338,0.5177888435956143
0.6316184527735798,-0.11037315253114234
0.16212450949295595,-0.2289248529574578
0.28534888005784487,-0.06253948994550712
0.6819919499658786,-0.061770487481727414
0.40355558026198596,0.3793443862266681
0.43159362800190665,-0.16248165132582412
0.6114678156016529,-0.08734400539454558
0.5367110936134102,-0.1883329205615466
0.2759976628595834,-0.027728116768154117
0.5476277456924261,-0.17717393034747198
0.13512812813341155,-0.1189356129629241
0.291095417668375,-0.2403305069546885
0.4983648100524286,-0.011900847658782972
0.7202196542620107,-0.14691289020777462
0.5561777722857697,-0.16937520520370952
0.5692466043565994,-0.14917555473705038
